question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,18,X-Large Short,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,7,Medium X-Short,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,11,Medium X-Long,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,16,Large X-Long,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,22,XX-Large Regular,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,12,Large X-Short,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,19,X-Large Regular,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,2,X-Small Regular,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,-1,Other,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,1,X-Small Short,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,3,Small X-Short,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,9,Medium Regular,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,13,Large-Short,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,15,Large Long,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,17,X-Large X-Short,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,20,X-Large Long,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,8,Medium Short,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,10,Medium Long,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,4,Small Short,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,5,Small Regular,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,6,Small Long,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID21,Q1.10,What size FR uniform were you issued?,MC,,Q1.10,nominal,21,X-Large X-Long,1,101,0.99,101,0.99,101,0.99,eligible,,,
