question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID19730735,Q2.3,Select your component:,MC,,Q2.3,nominal,4,Other (please specify):,30,29.7,101,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3,nominal,2,Reserves,25,24.75,101,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3,nominal,1,Active duty,24,23.76,101,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3,nominal,3,National Guard,22,21.78,101,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Accusamus cras metus sit? Aenean venenatis gravida interdum. Aenean tempor tempor tempus eget.,Accusamus cras metus sit? Aenean venenatis gravida interdum. Aenean tempor tempor tempus eget.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Amet wisi convallis. Fermentum, est et. Atque ridiculus elit enim sapien commodo.","Amet wisi convallis. Fermentum, est et. Atque ridiculus elit enim sapien commodo.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Arcu sed ab diam luctus ante egestas porta laoreet ante? Sit tempus sed elementum in.,Arcu sed ab diam luctus ante egestas porta laoreet ante? Sit tempus sed elementum in.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Curabitur tincidunt vehicula. Est facilisis! Maecenas euismod scelerisque sed blandit suscipit. Erat egestas praesent.,Curabitur tincidunt vehicula. Est facilisis! Maecenas euismod scelerisque sed blandit suscipit. Erat egestas praesent.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Cursus, elementum porta montes potenti. Nunc. Aliquam dictumst id iaculis cursus, suscipit felis.","Cursus, elementum porta montes potenti. Nunc. Aliquam dictumst id iaculis cursus, suscipit felis.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Dictumst ultrices. Cras per per. In! Iaculis, eu nibh sit tincidunt facilisis morbi.","Dictumst ultrices. Cras per per. In! Iaculis, eu nibh sit tincidunt facilisis morbi.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Dignissim convallis nonummy? Molestie potenti eleifend nullam, erat augue convallis nec.","Dignissim convallis nonummy? Molestie potenti eleifend nullam, erat augue convallis nec.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Facilisi pede? Est culpa molestie erat arcu amet! Maecenas. Dapibus! Viverra.,Facilisi pede? Est culpa molestie erat arcu amet! Maecenas. Dapibus! Viverra.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Faucibus aliquet consectetuer rhoncus lacus iaculis. Etiam temporibus laoreet viverra maecenas.,Faucibus aliquet consectetuer rhoncus lacus iaculis. Etiam temporibus laoreet viverra maecenas.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Faucibus vestibulum wisi dolorem? Sodales cras neque dui temporibus ac ullamcorper. Culpa magna quis, pede.","Faucibus vestibulum wisi dolorem? Sodales cras neque dui temporibus ac ullamcorper. Culpa magna quis, pede.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Gravida faucibus consequat rutrum? Consequat risus sit bibendum, eu nec imperdiet dapibus facilisis! Sagittis duis.","Gravida faucibus consequat rutrum? Consequat risus sit bibendum, eu nec imperdiet dapibus facilisis! Sagittis duis.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Lectus. Dolor turpis phasellus lorem leo per! Est placerat ab.,Lectus. Dolor turpis phasellus lorem leo per! Est placerat ab.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Magna vel rutrum! Atque arcu tempora vitae, nullam temporibus donec! Et accumsan massa.","Magna vel rutrum! Atque arcu tempora vitae, nullam temporibus donec! Et accumsan massa.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Nec aenean velit pellentesque. Auctor aliquet. Dolorem cursus volutpat quis a magna.,Nec aenean velit pellentesque. Auctor aliquet. Dolorem cursus volutpat quis a magna.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Nibh arcu cursus cras enim nullam suspendisse molestie odio duis nullam elit.,Nibh arcu cursus cras enim nullam suspendisse molestie odio duis nullam elit.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Nonummy maecenas interdum dictumst amet id. Suscipit vitae nunc natoque.,Nonummy maecenas interdum dictumst amet id. Suscipit vitae nunc natoque.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Pellentesque tempora wisi dapibus ac. Fusce. Dictumst magnis! Vel id scelerisque dignissim vulputate.,Pellentesque tempora wisi dapibus ac. Fusce. Dictumst magnis! Vel id scelerisque dignissim vulputate.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Pharetra lorem pellentesque sodales malesuada! Duis magnis. Potenti gravida eleifend.,Pharetra lorem pellentesque sodales malesuada! Duis magnis. Potenti gravida eleifend.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Praesent ipsum dolor? Justo? Vestibulum tempus. Primis est blandit metus laoreet vel, convallis phasellus urna.","Praesent ipsum dolor? Justo? Vestibulum tempus. Primis est blandit metus laoreet vel, convallis phasellus urna.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Primis scelerisque vel, viverra erat rhoncus mattis ultricies et etiam.","Primis scelerisque vel, viverra erat rhoncus mattis ultricies et etiam.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Purus ridiculus volutpat et proin risus praesent ullamcorper facilisis dictumst maecenas. Blandit porttitor erat.,Purus ridiculus volutpat et proin risus praesent ullamcorper facilisis dictumst maecenas. Blandit porttitor erat.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,"Tellus integer dolor egestas accumsan. Tellus consequat phasellus ut, vel pretium ut urna. Euismod.","Tellus integer dolor egestas accumsan. Tellus consequat phasellus ut, vel pretium ut urna. Euismod.",1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Tincidunt donec donec cursus. Commodo facilisis sapien phasellus tempor posuere wisi volutpat.,Tincidunt donec donec cursus. Commodo facilisis sapien phasellus tempor posuere wisi volutpat.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Tortor. Dapibus et! Egestas atque tempora iaculis viverra arcu egestas placerat maecenas.,Tortor. Dapibus et! Egestas atque tempora iaculis viverra arcu egestas placerat maecenas.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Vehicula commodo auctor facilisis facilisi tempor id tortor ligula vehicula posuere.,Vehicula commodo auctor facilisis facilisi tempor id tortor ligula vehicula posuere.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Vehicula euismod? Accusamus risus blandit lacus? Pharetra neque volutpat id mauris.,Vehicula euismod? Accusamus risus blandit lacus? Pharetra neque volutpat id mauris.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Vestibulum urna aliquet? Consectetuer? Euismod posuere gravida. Mi dolorem ultricies. Arcu luctus facilisi culpa.,Vestibulum urna aliquet? Consectetuer? Euismod posuere gravida. Mi dolorem ultricies. Arcu luctus facilisi culpa.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Vivamus aliquet eget faucibus at vestibulum nec erat duis neque volutpat dignissim porttitor.,Vivamus aliquet eget faucibus at vestibulum nec erat duis neque volutpat dignissim porttitor.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Vulputate! At dignissim odio mi vulputate mi nunc placerat. Mattis bibendum sit iaculis.,Vulputate! At dignissim odio mi vulputate mi nunc placerat. Mattis bibendum sit iaculis.,1,3.33,30,101
QID19730735,Q2.3,Select your component:,MC,,Q2.3_4_TEXT,nominal,Wisi platea purus ac viverra dignissim! Ultricies etiam neque! Sollicitudin amet tincidunt blandit? Per.,Wisi platea purus ac viverra dignissim! Ultricies etiam neque! Sollicitudin amet tincidunt blandit? Per.,1,3.33,30,101
