question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,21,Other (please specify):,4,22.22,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,1,HHC,2,11.11,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,17,A/3-7,2,11.11,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,18,C/3-7,2,11.11,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,19,F/3-7,2,11.11,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,10,538th ESC,1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,12,60th CEC,1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,13,"HDC, 325 LSB",1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,16,"H CLC, 325 LSB",1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,3,B-Co,1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8,nominal,7,S2,1,5.56,18,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8_21_TEXT,nominal,Aliquam. Temporibus nonummy neque massa magnis curabitur mauris. Etiam? Sodales.,Aliquam. Temporibus nonummy neque massa magnis curabitur mauris. Etiam? Sodales.,1,25.0,4,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8_21_TEXT,nominal,Atque odio ultricies ligula mattis pede accumsan venenatis. Nullam euismod nunc amet fusce.,Atque odio ultricies ligula mattis pede accumsan venenatis. Nullam euismod nunc amet fusce.,1,25.0,4,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8_21_TEXT,nominal,Enim nibh dignissim morbi fermentum ante ligula. Risus montes nonummy phasellus montes leo posuere risus.,Enim nibh dignissim morbi fermentum ante ligula. Risus montes nonummy phasellus montes leo posuere risus.,1,25.0,4,18
QID32,Q1.8,Select your company / element:,MC,,Q1.8_21_TEXT,nominal,Tempora auctor pede? Iaculis primis velit eget tellus magnis per phasellus dapibus erat! Leo mi.,Tempora auctor pede? Iaculis primis velit eget tellus magnis per phasellus dapibus erat! Leo mi.,1,25.0,4,18
