question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,14,14 years,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,47,47 years,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,49,49 years,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,51,50 years,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,2,2 years,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,35,35 years,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,6,6 years,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,0,Less than one year,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,11,11 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,16,16 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,25,25 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,27,27 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,29,29 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,32,32 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,38,38 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,39,39 years,3,101,2.97,101,2.97,101,2.97,eligible,,,
