question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,11,W-2,12,101,11.88,101,11.88,101,11.88,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,13,W-4,10,101,9.9,101,9.9,101,9.9,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,14,W-5,8,101,7.92,101,7.92,101,7.92,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,10,W-1,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,12,W-3,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,18,O-4,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,19,O-5,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,9,E-9,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,22,O-8,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,4,E-4,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,5,E-5,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,7,E-7,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,8,E-8,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,15,O-1,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,16,O-2,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,2,E-2,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,23,O-9,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,6,E-6,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,17,O-3,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,20,O-6,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,21,O-7,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,24,O-10,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730737,Q2.5,<div>Select your rank grade:</div>,MC,,Q2.5,nominal,1,E-1,1,101,0.99,101,0.99,101,0.99,eligible,,,
