question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,26,43,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,2,19,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,5,22,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,21,38,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,33,50,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,12,29,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,34,51,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,10,27,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,15,32,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,27,44,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,35,52,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,39,56,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,4,21,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,43,60,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,44,61,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,45,62,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,6,23,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,13,30,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,18,35,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,20,37,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,24,41,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,28,45,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,29,46,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,3,20,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,30,47,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,31,48,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,37,54,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,38,55,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,41,58,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,9,26,2,101,1.98,101,1.98,101,1.98,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,14,31,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,17,34,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,19,36,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,23,40,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,25,42,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,32,49,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,36,53,1,101,0.99,101,0.99,101,0.99,eligible,,,
QID19730734,Q2.2,Please select your age (years):,MC,,Q2.2,nominal,8,25,1,101,0.99,101,0.99,101,0.99,eligible,,,
