question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID3,Q1.6,Select your unit:,MC,,Q1.6,nominal,1,Division Artillery (DIVARTY),9,42,21.43,101,8.91,101,8.91,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6,nominal,2,Division Sustainment Brigade (DSB),9,42,21.43,101,8.91,101,8.91,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6,nominal,3,NCO Academy (NCOA),9,42,21.43,101,8.91,101,8.91,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6,nominal,4,Lightning Lab,8,42,19.05,101,7.92,101,7.92,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6,nominal,5,Other:,7,42,16.67,101,6.93,101,6.93,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,"Aenean? Scelerisque venenatis eros dictumst praesent phasellus sodales mi orci, phasellus! Pede quis elit.","Aenean? Scelerisque venenatis eros dictumst praesent phasellus sodales mi orci, phasellus! Pede quis elit.",1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,Bibendum integer. Sit amet nulla luctus? Ante duis porttitor natoque. Metus.,Bibendum integer. Sit amet nulla luctus? Ante duis porttitor natoque. Metus.,1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,"Dictumst iaculis consequat facilisi felis, vestibulum elementum natoque vel? Aenean! Suscipit. Turpis.","Dictumst iaculis consequat facilisi felis, vestibulum elementum natoque vel? Aenean! Suscipit. Turpis.",1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,"Euismod integer? Ullamcorper facilisis montes dolor amet dolor ullamcorper, dolorem sagittis eros nec rutrum.","Euismod integer? Ullamcorper facilisis montes dolor amet dolor ullamcorper, dolorem sagittis eros nec rutrum.",1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,"Leo, vehicula sapien est bibendum pretium magnis montes commodo. Platea.","Leo, vehicula sapien est bibendum pretium magnis montes commodo. Platea.",1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,Orci tempor quam mattis diam aliquam dolorem eleifend velit interdum amet at ab ultrices.,Orci tempor quam mattis diam aliquam dolorem eleifend velit interdum amet at ab ultrices.,1,7,14.29,101,0.99,101,0.99,eligible,,,
QID3,Q1.6,Select your unit:,MC,,Q1.6_5_TEXT,nominal,"Ultrices culpa phasellus molestie platea erat nonummy odio rutrum? Luctus, accusamus fringilla iaculis turpis donec.","Ultrices culpa phasellus molestie platea erat nonummy odio rutrum? Luctus, accusamus fringilla iaculis turpis donec.",1,7,14.29,101,0.99,101,0.99,eligible,,,
