question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,13,X-Large Short,12,101,11.88,101,11.88,101,11.88,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,6,Small Long,11,101,10.89,101,10.89,101,10.89,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,3,X-Small Long,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,9,Medium Long,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,7,Medium Short,8,101,7.92,101,7.92,101,7.92,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,10,Large Short,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,5,Small Regular,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,14,X-Large Medium,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,16,Other,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,4,Small Short,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,2,X-Small Regular,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,8,Medium Regular,5,101,4.95,101,4.95,101,4.95,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,12,Large Long,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,1,X-Small Short,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID23,Q1.12,What size uniform do you normally wear?,MC,,Q1.12,nominal,11,Large Regular,3,101,2.97,101,2.97,101,2.97,eligible,,,
