question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,3,"5' 0""",9,101,8.91,101,8.91,101,8.91,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,14,"5' 11""",7,101,6.93,101,6.93,101,6.93,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,19,"6' 4""",7,101,6.93,101,6.93,101,6.93,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,4,"5' 1""",7,101,6.93,101,6.93,101,6.93,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,24,Other:,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,11,"5' 8""",5,101,4.95,101,4.95,101,4.95,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,21,"6' 6""",5,101,4.95,101,4.95,101,4.95,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,10,"5 '7""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,12,"5' 9""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,13,"5' 10""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,15,"6' 0""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,16,"6' 1""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,2,"4' 9""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,23,"6' 8""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,6,"5' 3""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,7,"5' 4""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,8,"5' 5""",4,101,3.96,101,3.96,101,3.96,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,1,"4' 8""",3,101,2.97,101,2.97,101,2.97,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,18,"6' 3""",3,101,2.97,101,2.97,101,2.97,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,5,"5' 2""",3,101,2.97,101,2.97,101,2.97,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,17,"6' 2""",2,101,1.98,101,1.98,101,1.98,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,22,"6' 7""",2,101,1.98,101,1.98,101,1.98,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,20,"6' 5""",1,101,0.99,101,0.99,101,0.99,eligible,,,
QID24,Q1.15,What is your height?,MC,,Q1.15,nominal,9,"5' 6""",1,101,0.99,101,0.99,101,0.99,eligible,,,
